RADDOSE Image Number, DWD Angle, DWD, Vol, 1A RDE, 2A RDE, 3A RDE, 4A RDE, max res RDE
1.0,0.0,2.439454316059377,128.0,0.5053478509630579,0.8105302937753089,0.8999292557237634,0.9373902745059136,0.8105302937753089
2.0,2.0,7.214341731708807,128.0,0.13286497933878108,0.5372766184305557,0.7321123292033755,0.8259593533822011,0.5372766184305557
3.0,4.0,11.730684892951809,112.0,0.03755306899471176,0.36416287797432073,0.6022825384091316,0.7327788139638627,0.36416287797432073
4.0,6.000000000000001,15.843845884399498,112.0,0.011881454351149809,0.2555474884008564,0.5041863232088949,0.6570947508238795,0.2555474884008564
5.0,8.0,19.46159238476738,128.0,0.004318071781102655,0.18714364316469603,0.4312026319363587,0.597015496208963,0.18714364316469603
6.0,10.0,22.548931472626617,128.0,0.0018203632701973681,0.1434546818989961,0.37733592970614155,0.5501086979242532,0.1434546818989961
7.0,12.000000000000002,25.10471491081362,112.0,8.904586186784263E-4,0.11511541934913182,0.3378725323167353,0.514079088750899,0.11511541934913182
8.0,14.0,27.135660448568363,112.0,5.044761515084061E-4,0.09664517317630501,0.3094777861707607,0.4871386166521653,0.09664517317630501
9.0,16.0,28.681772785725354,128.0,3.2732405922342194E-4,0.08459771571996963,0.28947229606451724,0.4675799653687694,0.08459771571996963
10.0,18.0,29.872933234916506,112.0,2.345547222578097E-4,0.07635044988027118,0.27494601167732113,0.4530487492764455,0.07635044988027118
11.0,20.0,30.733593326170748,112.0,1.8436071262962215E-4,0.07089647159210422,0.26490597287887363,0.442831219550926,0.07089647159210422
12.0,22.0,31.346370236924123,128.0,1.5531449724734287E-4,0.06725243007074734,0.25798185205356217,0.43569723884115813,0.06725243007074734
13.0,24.000000000000004,31.80299777301123,128.0,1.366874928184684E-4,0.06465930291402892,0.2529400979210176,0.4304559900556564,0.06465930291402892
14.0,26.0,32.157043222470975,112.0,1.2379695172810626E-4,0.06271774301224221,0.24909889637717797,0.42643562976020233,0.06271774301224221
15.0,28.0,32.446480307976294,112.0,1.141672293031579E-4,0.06117388309999049,0.2460020378922066,0.4231768412615581,0.06117388309999049
16.0,29.999999999999996,32.676426990956784,128.0,1.0705364102856193E-4,0.05997448113416387,0.2435691698999094,0.4206056194219121,0.05997448113416387
17.0,32.0,32.914057529464365,128.0,1.0016771934462818E-4,0.05875970259327708,0.2410802824229116,0.4179648915317848,0.05875970259327708
18.0,34.0,33.155436250381385,112.0,9.362648090810175E-5,0.057550950931585305,0.2385781732841612,0.41529948434055985,0.057550950931585305
19.0,36.0,33.406090874055344,128.0,8.728558599163503E-5,0.056322058413855784,0.23600739217895006,0.41254963712368775,0.056322058413855784
20.0,38.0,33.68355860463631,128.0,8.076596690942455E-5,0.05499228637083079,0.23319390086290584,0.4095268608341623,0.05499228637083079
21.0,40.0,33.97038869536911,112.0,7.453781776504751E-5,0.053650639178475935,0.23032072839949805,0.40642536928506984,0.053650639178475935
22.0,42.0,34.309163672388436,112.0,6.779744214473153E-5,0.0521081181009821,0.22697278805567295,0.4027924387992894,0.0521081181009821
23.0,44.0,34.638465638169414,128.0,6.183024637262442E-5,0.05065124783065876,0.22376511443308753,0.3992922213411034,0.05065124783065876
